,"id, table_id",table_body,caption,references
0,S4.T1,dataset testa testb recal precis recal precis realworld dataset 085 089 057 075 synthet dataset 065 053 062 055 combin 074 083 072 080,tabl 1 perform comparison among train dataset realworld dataset synthet dataset and their combin on testa and testb,we evalu the perform of the propos framework on three scenario neural network model train with real data 3dwreal onli synthet data 3dwsyn onli and the combin dataset 3dwreal 3dwsyn precis and recal are test separ on testa and testb and the result are shown in tabl 1 note that testa consist of imag from the same 3d object as the imag of the 3dwreal train dataset while testb contain imag from differ object
1,S4.T2,random weight 3dwreal weight 3dwsyn weight recal 072 058 061 precis 080 069 075,tabl 2 train on 3dwreal 3dwsyn with three set of pretrain weight random and obtain by train on 3dwreal and 3dwsyn respect test wa done on testb,final we studi the effect of pretrain weight upon the perform of cnn3dw in thi experi we initi the weight of the cnn3dw network use random weight the weight of the 3dwreal train network and the weight of the 3dwsyn train network respect in all case we retrain on 3dwreal 3dwsyn and test on testb the result are shown in tabl 2
2,S2.T1,notat descript nknknk total number of edg node and size of winner set mmm number of resourc type wnwnmathbbwmathbbn winner set and edg node set qi jsubscriptqijqij qualiti of jjjth resourc of user iii qisubscriptqimathbfqi qualiti vector of user iii qisubscriptqihatqi declar qualiti of iiith resourc pisubscriptpipi payment of user iii thisubscriptithetai privat cost paramet of user iii f thifsubscriptifthetai cumul distribut function of thisubscriptithetai f thifsubscriptifthetai probabl densiti function of thisubscriptithetai s sscdot score function given by the aggreg c cccdot cost function pi v subscriptivpiicdotvcdot profit function of user iii and the aggreg u uucdot util function of the aggreg tin esuperscriptsubscripttinetin nash equilibrium strategi of node iii tin esuperscriptsubscripttinetin nash equilibrium strategi except node iii pspsi probabl of edg node be select kdelimitedkk auction with kkk winner,tabl i the notat frequent use in thi paper,in thi paper we consid a typic mec network where edg node such as micro server home gateway laptop and sensor are connect to a remot cloud the number of potenti edg node is larg and variou resourc of each node are dynam edg node have constrain resourc for feder learn sinc they have other import task in fig 1 an aggreg exist in the remot cloud to orchestr feder learn with distribut edg node to obtain a welltrain global model the aggreg ha motiv to pay for the recruit edg node edg node demonstr no intent to upload their privat data to the remot cloud and would not like to offer their dynam resourc to the aggreg unless they are paid for their contribut both the aggreg and edg node are assum to obey the contract they negoti and edg node are also assum to be trustabl that they will provid what they bid mani techniqu such as blacklist can be appli to the default similar to 25 26 we also adopt the independ privat valu model for edg node seller and aggreg buyer final some threat eg collus attack and fals name attack are not consid in thi paper in tabl i we summar some notat frequent use through thi paper
3,S3.T1,categori symbol type descript feder learn framework nnn int number of parti ttt int number of iter in local model train eee int number of epoch in global fl model train model aggreg committe mmm int number of elect committe member bbb int batch size of each round of committe elect ccc array list of committe member neural network model t ijktijktijk tensor parametersweight of local model of it hsuperscriptithith parti at jt hsuperscriptjthjth global epoch and kt hsuperscriptkthkth local iter g jgjgj tensor parametersweight of aggreg model of jt hsuperscriptjthjth epoch sss integ the size of parametersweight of localaggreg model,tabl i variabl in feder learn framework,in thi section the architectur and implement detail are illustr for both tradit peertop and twophas mpcenabl feder learn framework in addit theoret analysi on the number and size of messag exchang is also provid some variabl are defin and selfexplain in tabl i in order to evalu the propos feder learn framework thi paper studi a use case of fault detect in electr machin which are wide adopt in smart manufactur effect diagnosi of motor fault is essenti to enhanc reliabl of manufactur process as well as to reduc the cost of oper and mainten thi studi use the real world sensor data eg vibrat temperatur currenc and acoust and machin healthi and faulti label from a number of induct motor the data set were collect in the univers of tennesse usa by prof j wesley hiness team where each motor wa subject to thermal age process 31 in the same way as conduct in 32 the sensori data were preprocess and the timedomain featur were extract with the top 121 featur be employ here in thi studi due to the differ total lifetim it can be reason assum that the health statu of motor at each life cycl are differ mimick the differ fault type of differ compani we choos pytorch 120 and python 373 as machin learn librari in our feder learn framework for follow reason easi to use api multi gpu support python support custom data loader and simplifi preprocessor in our experi we made the assumpt that all compani are use the same featur extract from sensor data they are use the neural network nn model provid by pytorch for fault detect both simpl and complex neural network architectur structur were use in the simpl nn model it onli ha input 121 featur and output layer 2 predict result that is the size of simplenn model ie sss in tabl i is equal to 242 in the complexnn model anoth hidden layer with 60 neuron is ad henc the size of complexnn model is equal to 7380
4,S4.T2,model type train method recal mean recal highest recal lowest precis mean precis highest precis lowest balanc mean balanc highest balanc lowest simplenn local 0922 10 0810 0891 10 0686 0911 0989 0772 central 0939 10 0899 0937 10 0838 0941 10 0802 feder 0933 10 0869 0934 10 0828 0935 10 0852 complexnn local 0913 10 0803 0921 10 07969 0918 0992 0814 central 0952 10 0881 0945 10 0828 0949 10 0850 feder 0947 10 0861 0940 10 0820 0945 10 0845,tabl ii predict accuraci of differ train model,four motor data set refer to section iva belong to independ compani were use we select ani three compani data set as train data and the remain one as test data in a roundrobin manner addit and shamir secret share mpc obtain the same experiment result for simplenn and complexnn model respect as shown in tabl ii feder learn achiev compar predict accuraci to central learn which verifi the effect of feder learn for smart manufactur without compromis data privaci feder learn model outperform local model but the advantag for differ compani might vari
5,S5.T1,librispeech task train scenario wer central sota lower bound 400 train on 1st 50 of lsseed 566 onlin train on 2nd 50 of ls 461 ftl fedavg 455 hier optim 7 client 451 hier optim 11k client 445 softmax dga 441 rl dga 440,tabl 1 system evalu on the librispeech task for train offlin seq2seq with attent model,
6,S5.T2,presentationbas session adapt train scenario adapt comp wer central baselin none 686 tenant text encod 871 decod 641 pptaudio dga decod 646 realspeech decod 629 ftl tt and realspeech decod 551,tabl 2 hierarch unsupervis train with feder session adapt,
7,S1.T1,botnet bot type popul rental price botnetcanada comput 1000 270 botnetth u s comput 1000 180 botnetth u k comput 1000 240 botnetfr comput 1000 200 boy webcam hack iiot devic 100 1 girl webcam hack iiot devic 100 100 remot control administr tool 1 40,tabl i report botnetforhir servic,recent ddo attack are becom highli profit with botnet botnetforhir servic are avail in mani countri as shown in tabl i111httpshavocscopecomblackmarketpriceshack kasperski expert estim that the profit margin is up to 95 abov in one attack such profit drive numer cybercrimin to keep attack vulner iiot node henc we investig the flempow architectur to mitig fleam ddo attack our strategi is to make an attack more expens than possibl profit in fleam we place mitig intellig along the attack path instead of deploy them tightli and heavili around a victim our contribut is fourfold the rental price of 1000bot botnet vari in differ countri assum the cybercrimin onli attack one victim and the price is as in tabl i we comput the concret expens per 1000bot expens use equat 12 the cost is about 01 dollar for botnetth us in the victimcentr model and 037 dollar per second in our fleam fleam enlarg the expens to about 37 time
8,S1.T2,symbol descript a attack object a possibl victim dure combat as analyz submodul a part of lam perform local train ds detect submodul a part of lam collect data sampl dpm ddo polic modul the crux of local train and mitig fs filter submodul a part of mpm with access control logic ima iter model averag lam local analysi modul mpm monitor and polic modul ms monitor submodul a part of mpm monitor and block data of offens firepow tpd traffic polici databas a1a2a3a4subscript1subscript2subscript3subscript4alpha1alpha2alpha3alpha4 offens power constant for both defend and attack ddidsubscriptideltadeltai baselin threshold gggamma anomali trigger threshold llambda regular control ttau mitig time oomega model paramet l lnablaellcdotcdot the gradient optim function bbb the batch size ccjcsubscriptcjccj malici code and malici code cjsubscriptcjcj ddidsubscriptdiddi the dataset and a local dataset eee epoch f offomega f offomega gener local loss function ggg global train model h ohhomega regular ii jsubscriptiijiij idl resourc iii on node jjj mmimmimmi collabor number of collabor and their index hisubscripthihi the iiith node otsubscriptotot the gru predict pisubscriptpipi occurr probabl p k tipksubscripttipkti the iiith packet ssissubscriptsissi packet symbol ibsubscriptibib icsubscriptic idsubscriptidid between central close central degre central ttt train round t st stststst time window vtsubscriptvtvt the gru updat function wwvwsubscriptwvwwv the ima model weight the gru flow weight xxx featur space,tabl ii symbol and descript,
9,S4.T3,id featur valu x1subscriptx1x1 applic the system code featur in iiot x2subscriptx2x2 enterpris polici the enterpris polici in iiot x3subscriptx3x3 direct inbound or outbound x4subscriptx4x4 destin ip and port ip and port number of destin x5subscriptx5x5 sourc ip ip of the origin x6subscriptx6x6 upper layer protocol encapsul protocol id x7subscriptx7x7 packet length packet length indic x8subscriptx8x8 interarriv time flow arriv time x9subscriptx9x9 servicelevel agreement fog platform sla for iiot,tabl iii packet and polici featur,we profil incom packet base on featur in tabl iii below where each row denot a symbol where xxx is the featur space present in tabl iii otsubscriptotot is the predict vtsubscriptvtvt is the updat function wvsubscriptwvwv is the weight that manag the volum of inform flow through the gru
