query_id,query,order,threshold,file_id,table_id,id
1,(Graph structured) AND (visual Question Answering),0,0.0,1609.05600v2,S5.T1,1609.05600v2_S5.T1
1,(Graph structured) AND (visual Question Answering),1,0.0,2406.15319,S3.T5.2,2406.15319_S3.T5.2
1,(Graph structured) AND (visual Question Answering),2,0.0,2404.18961v1,S2.SS1.89,2404.18961v1_S2.SS1.89
1,(Graph structured) AND (visual Question Answering),3,0.0,2303.05977v2,S5.T4,2303.05977v2_S5.T4
1,(Graph structured) AND (visual Question Answering),4,0.0,1609.05600v2,S5.T2,1609.05600v2_S5.T2
1,(Graph structured) AND (visual Question Answering),5,0.0,2301.10799v2,A2.T4,2301.10799v2_A2.T4
1,(Graph structured) AND (visual Question Answering),6,0.0,2301.10799v2,S3.T1,2301.10799v2_S3.T1
1,(Graph structured) AND (visual Question Answering),7,0.0,2303.05977v2,S5.T3,2303.05977v2_S5.T3
1,(Graph structured) AND (visual Question Answering),8,0.0,2301.10799v2,A6.T7,2301.10799v2_A6.T7
1,(Graph structured) AND (visual Question Answering),9,0.0,2301.10799v2,A6.T8,2301.10799v2_A6.T8
1,(Graph structured) AND (visual Question Answering),10,0.0,2301.10799v2,A6.T9,2301.10799v2_A6.T9
1,(Graph structured) AND (visual Question Answering),11,0.0,2406.15319,S3.T1.1.1,2406.15319_S3.T1.1.1
1,(Graph structured) AND (visual Question Answering),12,0.0,2406.15319,S3.T1.1.1.1.1.3.1,2406.15319_S3.T1.1.1.1.1.3.1
1,(Graph structured) AND (visual Question Answering),13,0.0,2301.10799v2,S5.T3,2301.10799v2_S5.T3
1,(Graph structured) AND (visual Question Answering),14,0.0,2406.15319,A1.T8.1.1,2406.15319_A1.T8.1.1
1,(Graph structured) AND (visual Question Answering),15,0.0,2406.15319,A1.T7.1,2406.15319_A1.T7.1
1,(Graph structured) AND (visual Question Answering),16,0.0,2301.10799v2,S3.T2,2301.10799v2_S3.T2
1,(Graph structured) AND (visual Question Answering),17,0.0,2406.15319,S3.T2.1.1,2406.15319_S3.T2.1.1
1,(Graph structured) AND (visual Question Answering),18,0.0,2301.10799v2,A3.T6,2301.10799v2_A3.T6
