,"index, table_id",caption,references
0,S4.T1,"Table 1: Performance comparison among training datasets: real-world dataset, synthetic dataset and their combination, on Test_A and Test_B.","['We evaluate the performance of the proposed framework on three scenarios: neural network model trained with real data (3DW-real) only, synthetic data (3DW-syn) only, and the combined dataset (3DW-real + 3DW-syn). Precision and recall are tested separately on Test_A and Test_B and the results are shown in Table\xa01. Note that Test_A consists of images from the same 3D objects as the images of the (3DW-real) training dataset, while Test_B contains images from different objects.']"
1,S4.T2,"Table 2: Training on (3DW-real + 3DW-syn) with three sets of pretrained weights: random and obtained by training on (3DW-real) and (3DW-syn), respectively. Testing was done on Test_B.","['Finally, we studied the effect of pretrained weights upon the performance of CNN-3DW. In this experiment, we initialized the weights of the CNN-3DW network using random weights, the weights of the (3DW-real) trained network, and the weights of the (3DW-syn) trained network, respectively. In all cases, we retrained on (3DW-real + 3DW-syn) and tested on Test_B. The results are shown in Table\xa02.']"
2,S2.T1,Table 1: Results on GLUE test sets. Metrics differ per task (explained in Appendix A) but the best result is highlighted.,"['We first use the three meta-learning algorithms with PPS sampling and present in Table\xa01 the experimental results on the GLUE test set. Generally, the meta-learning algorithms achieve better performance than the strong baseline models, with Reptile performing the best.']"
3,S3.T2,Table 2: Effect of task distributions. We report the accuracy or Matthews correlation on development sets.,"['As we have mentioned above, we propose three different choices of the task distribution p\u200b(T)𝑝𝑇p(T) in this paper. Here we train Reptile with these task distributions and test models’ performance on the development set as shown in Table\xa02.']"
4,S3.T3,Table 3: Effect of the number of update steps and the inner learning rate α𝛼\alpha.,"['In this part, we test the effect of the number of update steps k𝑘k and the learning rate in the inner learning loop. The experimental results on the development sets are shown in Table\xa03. We find that setting k𝑘k to 5 is the optimal strategy and more or fewer update steps may lead to worse performance.', 'We also vary the inner learning rate α𝛼\\alpha and investigate its impact. The results are listed in Table\xa03. We can see that larger α𝛼\\alpha may degrade the performance because the resulting gradients deviate a lot from normal ones.\nThe above two ablations studies demonstrate the importance of making the meta-gradient informative.']"
5,A0.T4,Table 4: Basic information and statistics of the GLUE and SciTail datasets Williams et al. (2018).,"['Basically, the GLUE dataset \xa0Wang et\xa0al. (2019) consists of three types of tasks: single-sentence classification, similarity and paraphrase tasks, and inference tasks, as shown in Table\xa04.']"
6,A3.T5,Table 5: Accuracy numbers on the 10 probing tasks Conneau et al. (2018).,"['A probing task is a classification problem that requires the model to make predictions related to certain linguistic properties of sentences. The abbreviations for the 10 tasks are listed in Table\xa05. Basically, these tasks are set to test the model’s abilities to capture surface, syntactic or semantic information. We refer the reader to\xa0Conneau et\xa0al. (2018) for details. We freeze all the parameters of the models and only train the classification layer for the probing tasks.']"
7,S2.T1,TABLE I: The notations frequently used in this paper,"['In this paper, we consider a typical MEC network, where edge nodes such as micro servers, home gateways, laptops, and sensors, are connected to a remote cloud. The number of potential edge nodes is large, and various resources of each node are dynamic. Edge nodes have constrained resources for federated learning since they have other important tasks. In Fig. 1, an aggregator exists in the remote cloud to orchestrate federated learning with distributed edge nodes. To obtain a well-trained global model, the aggregator has motivations to pay for the recruited edge nodes. Edge nodes demonstrate no intention to upload their private data to the remote cloud, and would not like to offer their dynamic resources to the aggregator unless they are paid for their contributions. Both the aggregator and edge nodes are assumed to obey the contracts they negotiate, and edge nodes are also assumed to be trustable that they will provide what they bid. Many techniques such as blacklist can be applied to the defaulter. Similar to [25], [26], we also adopt the independent private value model for edge nodes (sellers) and aggregator (buyer). Finally, some threats, e.g. collusion attacks and false name attacks, are not considered in this paper. In Table I, we summarize some notations frequently used through this paper.']"
8,S3.T1,TABLE I: Variables in Federated Learning Framework,"['In this section, the architecture and implementation details are illustrated for both traditional Peer-to-Peer and Two-Phase MPC-enabled federated learning framework. In addition, theoretical analysis on the number and size of messages exchanged is also provided. Some variables are defined and self-explained in Table\xa0I.', 'In order to evaluate the proposed federated learning framework, this paper studied a use case of fault detection in electrical machines which are widely adopted in smart manufacturing. Effective diagnosis of motor faults is essential to enhance reliability of manufacturing process as well as to reduce the cost of operation and maintenance. This study used the real world sensor data (e.g., vibration, temperature, currency and acoustic) and machine healthy and faulty label from a number of induction motors. The data sets were collected in the University of Tennessee USA, by Prof. J. Wesley Hines’s team, where each motor was subject to thermal aging processes [31]. In the same way as conducted in [32], the sensory data were pre-processed and the time-domain features were extracted, with the top 121 features being employed here in this study. Due to the different total lifetimes, it can be reasonably assumed that the health status of motors at each life cycles are different, mimicking the different fault types of different companies.\nWe choose PyTorch 1.2.0 and Python 3.73 as machine learning library in our federated learning framework for following reasons: easy to use API, multi GPU support, python support, custom data loaders and simplified pre-processors. In our experiment, we made the assumption that all companies are using the same features extracted from sensor data. They are using the Neural Network (NN) models provided by PyTorch for fault detection. Both simple and complex neural network architecture structures were used. In the simple NN model, it only has input (121 features) and output layers (2 prediction results). That is the size of simpleNN model (i.e., s𝑠s in table\xa0I) is equal to 242. In the complexNN model, another hidden layer with 60 neurons is added. Hence, the size of complexNN model is equal to 7380.']"
9,S4.T2,TABLE II: Prediction Accuracy of Differently Trained models,"['Four motor data sets (refer to Section\xa0IV-A) belonging to independent companies were used. We select any three company’s data sets as training data and the remaining one as testing data, in a round-robin manner. Additive and Shamir secret sharing MPC obtained the same experimental results for SimpleNN and ComplexNN models respectively. As shown in Table\xa0II, federated learning achieves comparable prediction accuracy to centralized learning, which verify the effectiveness of federated learning for smart manufacturing, without compromising data privacy. Federated learning models outperforms local models, but the advantages for different companies might vary.']"
10,S5.T1,"Table 1: System evaluation on the LibriSpeech task, for training offline seq2seq with attention model.",[]
11,S5.T2,Table 2: Hierarchical Unsupervised Training with Federated Session Adaptation.,[]
12,S4.T1,Table 1: Results on the four testing categories for different settings of number of dimension (v) of task distribution. C.D. stands for Chamfer Distance.,"['Experiment setting: We use first 20 categories in ModelNet40 dataset as our training dataset. We use the last 20 categories in ModelNet40 as our testing dataset. For Test 3, we use the last 20 categories in ModelNet40 with noise dataset as our testing data set. For Test 1, we test the effects of dimension v𝑣v introduced in section 3.3.1 as the dimension of learned task distribution. For Test 2 and 3, we compare our model with meta-learner and without meta-learner. Our model without meta-learner is the final version of FlowNet3D (F3D). We do exact fair comparison for all the following three Tests to show the effect of our proposed meta-learner in dealing with unseen dataset. We list the quantitative results for Test 1 in Table 1, for Test 2 in Table 2 and for Test 3 in Table 3. We demonstrate selected qualitative results for Test 2 in Figure 3 and results for Test 3 in Figure 4.', 'Results of Test 1: As shown in Table 1, we show that our model achieves the best performance on testing unseen categories when the dimension of hidden latent task distribution space is equal to 128. As dimension v is comparatively small, only the most general shape information can be captured and embedded into a latent vector as the task distribution. Therefore, similar shapes from different categories may have close task distribution, and the predicted weights of registration learner can be similar to each other as well to generate a good performance on the unseen categories dataset. As v increases from 128 to 512, more detailed and subtle shape information is embedded into the latent vector. The general task distribution tends to converge to detailed data distribution. The over-fitted model can not be generalized on unseen categories. In this case, the model’s performance degrades accordingly on the unseen categories dataset. On the other hand, when the dimension of hidden latent task distribution space v is too small (for example, v is equal to 32), different tasks cannot be distinguished based on the latent vectors and the model’s performance tends to degrade towards the baseline model (F3D) without meta-learner.']"
13,S4.T2,Table 2: Results on the 20 unseen testing categories of ModelNet40 dataset.,"['Experiment setting: We use first 20 categories in ModelNet40 dataset as our training dataset. We use the last 20 categories in ModelNet40 as our testing dataset. For Test 3, we use the last 20 categories in ModelNet40 with noise dataset as our testing data set. For Test 1, we test the effects of dimension v𝑣v introduced in section 3.3.1 as the dimension of learned task distribution. For Test 2 and 3, we compare our model with meta-learner and without meta-learner. Our model without meta-learner is the final version of FlowNet3D (F3D). We do exact fair comparison for all the following three Tests to show the effect of our proposed meta-learner in dealing with unseen dataset. We list the quantitative results for Test 1 in Table 1, for Test 2 in Table 2 and for Test 3 in Table 3. We demonstrate selected qualitative results for Test 2 in Figure 3 and results for Test 3 in Figure 4.', 'Results of Test 2:\nAs shown in Table 2, with the meta-learner our model achieves much lower EPE (0.2342) compared to the model without meta-learner (F3D) on the 20 unseen testing categories. The registration estimation accuracy (ACC) dramatically improves from10.01%percent\\% to 34.01%percent\\% for the threshold 0.05 and it improves from 48.18%percent\\% to 75.56%percent\\% for the threshold 0.1. This result clearly indicates the superior performance of leveraging meta-learner to adjust the learner based on the task distributions of unseen categories. In addition, from the randomly selected qualitative results from Figure 3, we notice that the alignment result of source and target point clouds by our model is precise. The green shape is the target, the red shape is the source shape and the blue one is the transformed source shape.']"
14,S4.T3,Table 3: Results on the 20 unseen testing categories of ModelNet40 dataset with noise.,"['Experiment setting: We use first 20 categories in ModelNet40 dataset as our training dataset. We use the last 20 categories in ModelNet40 as our testing dataset. For Test 3, we use the last 20 categories in ModelNet40 with noise dataset as our testing data set. For Test 1, we test the effects of dimension v𝑣v introduced in section 3.3.1 as the dimension of learned task distribution. For Test 2 and 3, we compare our model with meta-learner and without meta-learner. Our model without meta-learner is the final version of FlowNet3D (F3D). We do exact fair comparison for all the following three Tests to show the effect of our proposed meta-learner in dealing with unseen dataset. We list the quantitative results for Test 1 in Table 1, for Test 2 in Table 2 and for Test 3 in Table 3. We demonstrate selected qualitative results for Test 2 in Figure 3 and results for Test 3 in Figure 4.', 'Results of Test 3: As shown in Table 3, for all these three types of noise (G.D, D.I, and P.O noise), with the meta-learner our model achieves much lower EPE and higher accuracy compared to the model without meta-learner (F3D) on the unseen 20 testing categories. This result indicates that our model with meta-learner can be less affected by all these different noise patterns in comparison with the model without meta-learner (F3D). For more reference, we list one qualitative results for each noise pattern in Figure 4 to further show the difference in alignment results by our model with meta-learner with baseline model FlowNet3D (F3D) without meta-learner. We can clearly see that our model achieves better alignment performance.']"
15,S4.T4,Table 4: Results on the FlyingThings3D test dataset.,"['We conduct two Tests in this section. For both Test 1 and Test 2, we from nearly 39000 models in the FlyingThings3D dataset, we randomly select 20000 models for training. For Test 1, we use the rest of the 2000 models as the testing dataset. We notice that Test 1 is conducted on a “seen” testing dataset to compare with other methods. We sample 2048 points from each point cloud. In Test 1, we compare our model with ICP (iterative closest point) and three settings of FlowNet3D to show our model’s performance on a testing dataset from the same domain. FlowNet3D refers to the optimal model in [10]. FlowNet3D (EM) refers to an early mixture model that combines two point clouds with a one-hot vector to distinguish them. FlowNet3D (LM) denotes a late mixture model that firstly extracts global features from the source and target point cloud respectively and then uses concatenation operation to mix them. Note that we exactly follow the same experiment setting in FlowNet3D for a fair comparison. We train our model on the training dataset and evaluate the performance on the testing dataset. We list the quantitative results for Test 1 in Table 4 and we demonstrate selected qualitative results for Test 1 in Figure 5.', 'Results of Test 1: As shown in Table 4, our method achieves lower EPE (0.1453) compared to FlowNet3D (0.1694) and ICP (0.5019). As to the registration estimation accuracy (ACC), our method achieves significantly better result with 29.27%percent\\% for the threshold 0.05 and 62.21%percent\\% for the threshold 0.1, which is better than 26.67%percent\\% for the threshold 0.05 and 59.65%percent\\% for the threshold 0.1 achieved by FlowNet3D. In addition, from the qualitative results shown in Figure 5, we notice that the alignment of source and target point clouds is more accurate for our method. For example, we can clearly see the gap between green (target) and blue (transformed source) points for the left case in the result of FlowNet3D.']"
16,S4.T5,Table 5: Results on the KITTI dataset.,"['For Test 2, we only evaluate our model on the KITTI scene flow dataset. The KITTI scene flow dataset includes 200 stereo images. Following the evaluation standards claimed in FlowNet3D, we use the first 150 images containing only geometric information from the KITTI scene flow dataset as the testing dataset to evaluate our model. Note that our model is trained on the training dataset of FlyingThings3D without further fine-tuning steps. We use all 16384 points from each point cloud and set the batch size to 1 during the evaluation process. For Test 2, we compare our model’s performance with the model FlowNet3D. We list the quantitative results for Test 2 in Table 5. We demonstrate selected qualitative results for Test 2 in Figure 4.', 'Results of Test 2: The results shown in Table 5 demonstrates that our model trained on FlyingThings3D achieves lower EPE and better ACC on KITTI in comparison to the results achieved by FlowNet3D. For the qualitative results shown in Figure 6, we can clearly see that our registration result for the two cars on the left side is better since all the blue points are almost overlapped with the green points. In comparison, the result of FlowNet3D shows a gap between blue and green points.']"
17,S1.T1,TABLE I: Reported botnet-for-hire services,"['Recently, DDoS attacks are becoming highly profitable with botnets. Botnet-for-hire services are available in many countries, as shown in Table I.111https://havocscope.com/black-market-prices/hackers/ Kaspersky experts estimated that the profit margin is up to 95% above in one attack. Such profits drive numerous cybercriminals to keep attacking vulnerable IIoT nodes. Hence, we investigate the FL-empowered architecture to mitigate (FLEAM) DDoS attacks. Our strategy is to make an attack more expensive than possible profits. In FLEAM, we place mitigation intelligence along the attacking path instead of deploying them tightly and heavily around a victim. Our contribution is fourfold:', 'The rental price of 1000-bot botnets varies in different countries. Assuming the cybercriminal only attacks one victim, and the price is as in Table I. We compute the concrete expense per 1000-bot expense using Equation (12). The cost is about 0.1 dollars for Botnet-the US in the victim-centric model and 0.37 dollars per second in our FLEAM. FLEAM enlarges the expense to about 3.7 times.']"
18,S1.T2,TABLE II: Symbols and descriptions,[]
19,S4.T3,TABLE III: Packets and policy features,"['We profile incoming packets based on features in Table III below, where each row denotes a symbol.', 'where x𝑥x is the feature space presented in Table III; otsubscript𝑜𝑡o_{t} is the prediction; vtsubscript𝑣𝑡v_{t} is the update function; wvsubscript𝑤𝑣w_{v} is the weight that manages the volume of information flowing through the GRU.']"
20,S4.T4,TABLE IV: Various mitigation time for IIoT bots,"['We employ a Monte Carlo tool to witness the performance comparison between victim-centric solutions with FLEAM. Fig. 3 presents combined patterns of the above malicious codes. In more detail, bots generate DDoS traffic at random intervals of 5, 10, and 15 microseconds. It takes 7 microseconds to analyze each flow for a defender. We further adopt the average processing time shown in Table IV [10].']"
21,S5.T5,TABLE V: The attacking expense in various countries,[]
22,S7.T6,TABLE VI: Characteristics comparison,"['Nowadays, cybercriminals attack a victim from networked zombies rooted in distributed networks. Previous solutions focus on technology improvement while passively waiting for malicious codes at the victim end. An attacker coordinates bots behind the Internet while a defender fights against DDoS individually. Due to its resource constraints and enormous scale, attackers get a cheap army of IIoT botnets to attack a target at will, gaining outstanding profits from individual defenders. Fleam addresses such embarrassment by bringing attackers and defenders to the same surface within the defender alliance. Table VI summarizes various characteristics of FLEAM and previous solutions.']"
23,S3.T1,Table 1: Impact of biased client selection on fairness (q-FedAvg). Threshold (TH) indicates whether considering the 70% eligible ratio. Best/Worst 10% indicate the top 10% best/worst accuracies. ,[]
24,S5.T2,Table 2: Client based fairness performance of q-FedAvg with biased selection VS TRA-q-FedAvg with different packet loss ratios. The gray color highlights the best performance algorithms.,[]
25,A2.T1,TABLE I: Key Notations,[]
26,S5.T1,"TABLE I: TESTING ACCURACY OF ALL RESULTING MODELS: A FEEL BASE MODEL AS WELL AS MORE SPECIALIZED MODELS FOR THE DIFFERENT CLUSTERS (THE PROPOSED SCHEDULING ALGORITHM AND THE BASELINE ALGORITHM), C*=CLIENT.","['From the presented results in Table I, one can observe that the training process using both scheduling algorithms has resulted in multiple models for every client: A FEEL base model as well as more specialized models for the different clusters. Note that the proposed algorithm produces three more specialized models. From table I(a), one can notice that, in the results of the proposed algorithm, all clients attained satisfying accuracy (highlighted in green), and the performance gap\nis about 10%percent1010\\% only. In contrast, in table I(b), about 1313\\frac{1}{3} of the tested clients (clients 1, 2, 3, 4, and 5) attained bad accuracy (highlighted in red). The performance gap reaches up to 30.4%percent30.430.4\\%, indicating that some models are still biased to those frequently selected clients.\nOverall, our results demonstrate that the proposed scheduling algorithm outperforms the baseline scheduling algorithm method in terms of clustering quality not only with more specialized models but also on accelerating the convergence rate and reducing the costs.']"
27,S5.T1.st1,(a) Proposed scheduling algorithm.,"['From the presented results in Table I, one can observe that the training process using both scheduling algorithms has resulted in multiple models for every client: A FEEL base model as well as more specialized models for the different clusters. Note that the proposed algorithm produces three more specialized models. From table I(a), one can notice that, in the results of the proposed algorithm, all clients attained satisfying accuracy (highlighted in green), and the performance gap\nis about 10%percent1010\\% only. In contrast, in table I(b), about 1313\\frac{1}{3} of the tested clients (clients 1, 2, 3, 4, and 5) attained bad accuracy (highlighted in red). The performance gap reaches up to 30.4%percent30.430.4\\%, indicating that some models are still biased to those frequently selected clients.\nOverall, our results demonstrate that the proposed scheduling algorithm outperforms the baseline scheduling algorithm method in terms of clustering quality not only with more specialized models but also on accelerating the convergence rate and reducing the costs.']"
28,S5.T1.st2,(b) Baseline scheduling algorithm.,"['From the presented results in Table I, one can observe that the training process using both scheduling algorithms has resulted in multiple models for every client: A FEEL base model as well as more specialized models for the different clusters. Note that the proposed algorithm produces three more specialized models. From table I(a), one can notice that, in the results of the proposed algorithm, all clients attained satisfying accuracy (highlighted in green), and the performance gap\nis about 10%percent1010\\% only. In contrast, in table I(b), about 1313\\frac{1}{3} of the tested clients (clients 1, 2, 3, 4, and 5) attained bad accuracy (highlighted in red). The performance gap reaches up to 30.4%percent30.430.4\\%, indicating that some models are still biased to those frequently selected clients.\nOverall, our results demonstrate that the proposed scheduling algorithm outperforms the baseline scheduling algorithm method in terms of clustering quality not only with more specialized models but also on accelerating the convergence rate and reducing the costs.']"
29,Sx4.T1,Table 1: Comparison of achieved accuracy of the proposed aggregator versus other solutions.,"['First, we compare our proposed mechanism with FedAVG (McMahan et\xa0al. 2017), FedAVG with DP (McMahan et\xa0al. 2018), and a standalone agent with no FL. For a fair comparison we have adjusted the parameters of the additive noise in DP-enabled FedAVG to yield a similar ϵitalic-ϵ\\epsilon as our method. Table 1 shows the average accuracy of the models after convergence. As shown in Table 1, the proposed two-bit aggregation always achieves almost the same accuracy as the other FL methods. This shows that the proposed framework will not impact the FL process in terms of performance while providing DP and communication efficiency.']"
30,S1.T1,Table 1. Existing surveys on FL-related topics and our new contributions.,"['Driven by the recent advances of FL, many studies have been conducted to survey its related topics, including healthcare. For example, the works in (9, ) and (10, ) present the key FL concept and its enabling protocols and technical challenges in FL design and implementation. The survey in (11, ) discusses the security and privacy issues in FL systems, and described possible solutions for evaluations of malicious threats in FL networks. The integration of FL in mobile edge networks is investigated in (16, ), where challenges in FL implementation are explored, such as communication costs, resource allocation, and privacy and security. Meanwhile, the convergence of FL and Internet-of-Things (IoT) is explored in (12, ), by providing a survey on the technical issues in FL designs, such as sparsification, robustness, privacy, and scalability, along with a brief discussion of FL applications in IoT. Moreover, the authors in (13, ) present an overview of the FL applications in industrial IoT, where the focus is on the discussion of characteristics and fundamentals of FL, while the discussion of FL usage in healthcare is limited. The work in (14, ) mainly discusses the FL architectures and models with a very brief introduction to the roles of FL in healthcare informatics. Another study in (15, ) mostly considers technical issues and requirements of using FL in future digital health. However, the latest advances in FL such as resource-aware FL, secure and privacy-enhanced FL, incentive-aware FL, and personalized FL have not been fully explored. The comparison of the related works and our paper is summarized in Table\xa01.']"
31,S4.T2,Table 2. Summary of recent advances in FL designs for smart healthcare. ,['We summarize this section in the taxonomy Table\xa02 and Table\xa03 along with the key technical aspects of each reference work to provide more insights into the recently advanced FL designs for smart healthcare.']
32,S4.T3,Table 3. Summary of recent advances in FL designs for smart healthcare (continued). ,['We summarize this section in the taxonomy Table\xa02 and Table\xa03 along with the key technical aspects of each reference work to provide more insights into the recently advanced FL designs for smart healthcare.']
33,S5.T4,Table 4. Taxonomy of FL applications for smart healthcare. ,"['In summary, we list the emerging applications of FL in smart healthcare in the taxonomy Table\xa04 and Table\xa05 along with the key technical aspects of each reference work to provide more insights into the integrated FL-healthcare use cases.']"
34,S5.T5,Table 5. Taxonomy of FL applications for smart healthcare (continued). ,"['In summary, we list the emerging applications of FL in smart healthcare in the taxonomy Table\xa04 and Table\xa05 along with the key technical aspects of each reference work to provide more insights into the integrated FL-healthcare use cases.']"
35,S3.T1,Table 1: Ablation study on the VQA test-dev dataset,"['The experimental results are shown in Tab.1 (test-standard is not recommended to be used for VQA ablation study). From the experimental results, we can see that object region attention alone performs better than channel-wise attention only on the Y/N, Other and All with an increase of 2.86%, 3.46% and 2.83% respectively. In terms of Number, channel-wise attention performs slightly better. By stacking those two attention into a VQA model in any order, we find that the stacked attention models improve the performance of VQA, especially for Number by approximately 1.9%. In addition, changing order would slightly effect the performance.']"
